facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
A08mXDK7ySm,Burkina Faso,Centre Ouest,Boulkiemdé,DS Sabou
a1MtjkmIgM7,Burkina Faso,Sud Ouest,Bougouriba,DS Diébougou
a225iN3uyNa,Burkina Faso,Hauts Bassins,Kenedougou,DS Orodara
a2eYQmICTRr,Burkina Faso,Hauts Bassins,Houet,DS Do
A47f5CBiSfy,Burkina Faso,Centre,Kadiogo,DS Sig-Noghin
A49zMNiX26J,Burkina Faso,Boucle du Mouhoun,Sourou,DS Tougan
A4sjQX9VJXx,Burkina Faso,Hauts Bassins,Houet,DS Do
a4TRfhFjGmV,Burkina Faso,Sud Ouest,Ioba,DS Dano
a54kngmnSag,Burkina Faso,Est,Gourma,DS Fada
a5MALknbFdk,Burkina Faso,Centre Nord,Sanmatenga,DS Kaya
a6lkhsK4jbC,Burkina Faso,Est,Kompienga,DS Pama
a6Ouzq6tYLg,Burkina Faso,Centre,Kadiogo,DS Sig-Noghin
a6r2CsMXLFn,Burkina Faso,Centre Ouest,Boulkiemdé,DS Koudougou
a6R2dujjqMe,Burkina Faso,Centre Est,Boulgou,DS Garango
a6VNTz04uL7,Burkina Faso,Centre Ouest,Sanguié,DS Réo
a7EU3XtIbfI,Burkina Faso,Boucle du Mouhoun,Kossi,DS Nouna
A7Mnu7JddRw,Burkina Faso,Nord,Passoré,DS Yako
a7qPFYXuFYF,Burkina Faso,Boucle du Mouhoun,Mouhoun,DS Dedougou
a7t76X7VGWU,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
a891mP1dqGP,Burkina Faso,Nord,Yatenga,DS Ouahigouya
a8GHEf6F0jb,Burkina Faso,Centre,Kadiogo,DS Bogodogo
A8o8Z7Dlg9U,Burkina Faso,Boucle du Mouhoun,Mouhoun,DS Dedougou
a8U4tfXJ5ez,Burkina Faso,Centre,Kadiogo,DS Bogodogo
A8XoH4bkhsT,Burkina Faso,Centre Ouest,Boulkiemdé,DS Koudougou
a9FzSUztjvb,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
A9vyE99TQSK,Burkina Faso,Hauts Bassins,Houet,DS Dafra
a9YV9sYUKVx,Burkina Faso,Plateau Central,Ganzourgou,DS Zorgho
aA2MtZ9UsH0,Burkina Faso,Centre Nord,Sanmatenga,DS Boussouma
AAdV3Sjr2oI,Burkina Faso,Centre Est,Boulgou,DS Tenkodogo
aamlEVD39sE,Burkina Faso,Nord,Zondoma,DS Gourcy
aAmUY9LL5Ti,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
aAQ9z68ZN1H,Burkina Faso,Centre,Kadiogo,DS Nongr-Massom
aATnO54Z7e5,Burkina Faso,Est,Gourma,DS Fada
AAW9J3vpK5T,Burkina Faso,Nord,Yatenga,DS Ouahigouya
AB7pQ6NMCpx,Burkina Faso,Centre Sud,Zoundweogo,DS Manga
ABazMxeviFR,Burkina Faso,Centre,Kadiogo,DS Sig-Noghin
Abdvkqacpkm,Burkina Faso,Centre Nord,Bam,DS Kongoussi
abo8mtAh7yJ,Burkina Faso,Centre,Kadiogo,DS Bogodogo
aBqCUrT35iP,Burkina Faso,Centre Nord,Sanmatenga,DS Boussouma
abQodiaqXBK,Burkina Faso,Centre,Kadiogo,DS Baskuy
abrV7L5WpGv,Burkina Faso,Boucle du Mouhoun,Bale,DS Boromo
aCpmj5c4WcT,Burkina Faso,Cascades,Comoé,DS Banfora
ACpvRRd5IXi,Burkina Faso,Nord,Yatenga,DS Ouahigouya
acQHtyMGfoH,Burkina Faso,Boucle du Mouhoun,Kossi,DS Nouna
AcwrDh6H74A,Burkina Faso,Centre,Kadiogo,DS Baskuy
